HomeTeam,AwayTeam,FTHG,FTAG
Northern Ireland,Slovakia,1,2
Serbia,Scotland,1,1
Georgia,North Macedonia,0,1
Bosnia and Herzegovina,Iran,0,2
England,Republic of Ireland,3,0
Jordan,Iraq,0,0
Lebanon,Bahrain,1,3
Moldova,Russia,0,0
United Arab Emirates,Tajikistan,3,2
Uzbekistan,Syria,0,1
Wales,United States,0,0
Bolivia,Ecuador,2,3
Argentina,Paraguay,1,1
Burkina Faso,Malawi,3,1
Uganda,South Sudan,1,0
Ghana,Sudan,2,0
Gabon,Gambia,2,1
Cape Verde,Rwanda,0,0
Cameroon,Mozambique,4,1
Zambia,Botswana,2,1
Algeria,Zimbabwe,3,1
Congo,Eswatini,2,0
Ivory Coast,Madagascar,2,1
Bangladesh,Nepal,2,0
Costa Rica,Qatar,1,1
Japan,Panama,1,0
Colombia,Uruguay,0,3
Chile,Peru,2,0
Brazil,Venezuela,1,0
Mali,Namibia,1,0
South Africa,São Tomé and Príncipe,2,0
Morocco,Central African Republic,4,1
Tunisia,Tanzania,1,0
Niger,Ethiopia,1,0
Nigeria,Sierra Leone,4,4
Portugal,France,0,1
Sweden,Croatia,2,1
Germany,Ukraine,3,1
Switzerland,Spain,1,1
Azerbaijan,Montenegro,0,0
Cyprus,Luxembourg,2,1
Malta,Andorra,3,1
Latvia,Faroe Islands,1,1
San Marino,Gibraltar,0,0
Mexico,South Korea,3,2
Saudi Arabia,Jamaica,3,0
DR Congo,Angola,0,0
Egypt,Togo,1,0
Benin,Lesotho,1,0
Netherlands,Bosnia and Herzegovina,3,1
Italy,Poland,2,0
Belgium,England,2,0
Denmark,Iceland,2,1
Austria,Northern Ireland,2,1
Romania,Norway,3,0
Slovakia,Scotland,1,0
Czech Republic,Israel,1,0
Turkey,Russia,3,2
Hungary,Serbia,1,1
Wales,Republic of Ireland,1,0
Bulgaria,Finland,1,2
North Macedonia,Estonia,2,1
Georgia,Armenia,1,2
Slovenia,Kosovo,2,1
Moldova,Greece,0,2
Albania,Kazakhstan,3,1
Belarus,Lithuania,2,0
Guatemala,Honduras,2,1
Chad,Guinea,1,1
Burundi,Mauritania,3,1
Comoros,Kenya,2,1
Guinea-Bissau,Senegal,0,1
Equatorial Guinea,Libya,1,0
Jordan,Syria,1,0
United Arab Emirates,Bahrain,1,3
United States,Panama,6,2
Basque Country,Costa Rica,2,1
Malawi,Burkina Faso,0,0
South Sudan,Uganda,1,0
South Africa,São Tomé and Príncipe,4,2
Gambia,Gabon,2,1
Mozambique,Cameroon,0,2
Zimbabwe,Algeria,2,2
Botswana,Zambia,1,0
Eswatini,Congo,0,0
Croatia,Portugal,2,3
France,Sweden,4,2
Spain,Germany,6,0
Switzerland,Ukraine,3,0
Luxembourg,Azerbaijan,0,0
Montenegro,Cyprus,4,0
Andorra,Latvia,0,5
Malta,Faroe Islands,1,1
Gibraltar,Liechtenstein,1,1
Bangladesh,Nepal,0,0
Japan,Mexico,0,2
South Korea,Qatar,2,1
Saudi Arabia,Jamaica,1,2
Uzbekistan,Iraq,1,2
Ecuador,Colombia,6,1
Venezuela,Chile,2,1
Peru,Argentina,0,2
Paraguay,Bolivia,2,2
Uruguay,Brazil,0,2
Namibia,Mali,1,2
Sudan,Ghana,1,0
Angola,DR Congo,0,1
Central African Republic,Morocco,0,2
Rwanda,Cape Verde,0,0
Togo,Egypt,1,3
Tanzania,Tunisia,1,1
Ethiopia,Niger,3,0
Madagascar,Ivory Coast,1,1
Sierra Leone,Nigeria,0,0
Lesotho,Benin,0,0
Bosnia and Herzegovina,Italy,0,2
Poland,Netherlands,1,2
England,Iceland,4,0
Belgium,Denmark,4,2
Northern Ireland,Romania,1,1
Austria,Norway,1,1
Czech Republic,Slovakia,2,0
Israel,Scotland,1,0
Hungary,Turkey,2,0
Serbia,Russia,5,0
Republic of Ireland,Bulgaria,0,0
Wales,Finland,3,1
Armenia,North Macedonia,1,0
Georgia,Estonia,0,0
Kosovo,Moldova,1,0
Greece,Slovenia,0,0
Albania,Belarus,3,2
Kazakhstan,Lithuania,1,2
Qatar,Bangladesh,5,0
United States,El Salvador,6,0
United Arab Emirates,Iraq,0,0
Kuwait,Palestine,0,1
Dominican Republic,Puerto Rico,0,1
Guatemala,Puerto Rico,1,0
Dominican Republic,Serbia,0,0
Iraq,Kuwait,2,1
Panama,Serbia,0,0
United States,Trinidad and Tobago,7,0
Jordan,Tajikistan,2,0
Jordan,Tajikistan,0,1
Jordan,Uzbekistan,0,2
Guatemala,Nicaragua,1,0
Kenya,South Sudan,1,0
Kenya,Tanzania,2,1
Ethiopia,Malawi,4,0
Oman,Jordan,0,0
Belarus,Honduras,1,1
Jordan,Lebanon,1,0
Kosovo,Lithuania,4,0
Qatar,Luxembourg,1,0
Antigua and Barbuda,Montserrat,2,2
Suriname,Cayman Islands,3,0
Guatemala,Cuba,1,0
Dominican Republic,Dominica,1,0
Saint Kitts and Nevis,Puerto Rico,1,0
Portugal,Azerbaijan,1,0
Serbia,Republic of Ireland,3,2
France,Ukraine,1,1
Finland,Bosnia and Herzegovina,2,2
Belgium,Wales,3,1
Estonia,Czech Republic,2,6
Turkey,Netherlands,4,2
Gibraltar,Norway,0,3
Latvia,Montenegro,1,2
Malta,Russia,1,3
Slovenia,Croatia,1,0
Cyprus,Slovakia,0,0
Chad,Namibia,0,3
Guinea,Mali,1,0
South Sudan,Malawi,0,1
Uganda,Burkina Faso,0,0
São Tomé and Príncipe,Sudan,0,2
Rwanda,Mozambique,1,0
Ethiopia,Madagascar,4,0
Bahrain,Syria,3,1
India,Oman,1,1
Japan,South Korea,3,0
Saudi Arabia,Kuwait,1,0
United States,Jamaica,4,1
El Salvador,Grenada,2,0
Canada,Bermuda,5,1
Curaçao,Saint Vincent and the Grenadines,5,0
Panama,Barbados,1,0
Haiti,Belize,2,0
Trinidad and Tobago,Guyana,3,0
Spain,Greece,1,1
Sweden,Georgia,1,0
Bulgaria,Switzerland,1,3
Italy,Northern Ireland,2,0
Israel,Denmark,0,2
Scotland,Austria,2,2
Moldova,Faroe Islands,1,1
England,San Marino,5,0
Andorra,Albania,0,1
Hungary,Poland,3,3
Germany,Iceland,3,0
Liechtenstein,Armenia,0,1
Romania,North Macedonia,3,2
South Africa,Ghana,1,1
Gambia,Angola,1,0
Gabon,DR Congo,3,0
Comoros,Togo,0,0
Kenya,Egypt,1,1
Botswana,Zimbabwe,0,1
Zambia,Algeria,3,3
Equatorial Guinea,Tanzania,1,0
Libya,Tunisia,2,5
Tajikistan,Mongolia,3,0
Chile,Bolivia,2,1
Burundi,Central African Republic,2,2
Mauritania,Morocco,0,0
Cape Verde,Cameroon,3,1
Eswatini,Guinea-Bissau,1,3
Congo,Senegal,0,0
Niger,Ivory Coast,0,3
Bosnia and Herzegovina,Costa Rica,0,0
Nepal,Bangladesh,0,0
Qatar,Azerbaijan,2,1
Wales,Mexico,1,0
United States Virgin Islands,Antigua and Barbuda,0,3
Aruba,Suriname,0,6
British Virgin Islands,Guatemala,0,3
Anguilla,Dominican Republic,0,6
Turks and Caicos Islands,Nicaragua,0,7
Bahamas,Saint Kitts and Nevis,0,4
Republic of Ireland,Luxembourg,0,1
Serbia,Portugal,2,2
Belarus,Estonia,4,2
Czech Republic,Belgium,1,1
Montenegro,Gibraltar,4,1
Netherlands,Latvia,2,0
Norway,Turkey,0,3
Russia,Slovenia,2,1
Croatia,Cyprus,1,0
Slovakia,Malta,2,2
Lesotho,Sierra Leone,0,0
Benin,Nigeria,0,1
Greece,Honduras,2,1
Northern Ireland,United States,1,2
Montserrat,El Salvador,1,1
Cuba,Curaçao,1,2
Dominica,Panama,1,2
Puerto Rico,Trinidad and Tobago,1,1
Georgia,Spain,1,2
Kosovo,Sweden,0,3
Switzerland,Lithuania,1,0
Bulgaria,Italy,0,2
Kazakhstan,France,0,2
Ukraine,Finland,1,1
Denmark,Moldova,8,0
Austria,Faroe Islands,3,1
Israel,Scotland,1,1
Albania,England,0,2
Poland,Andorra,3,0
San Marino,Hungary,0,3
Armenia,Iceland,2,0
North Macedonia,Liechtenstein,5,0
Romania,Germany,0,1
Namibia,Guinea,2,1
Mali,Chad,3,0
Ghana,São Tomé and Príncipe,3,1
Sudan,South Africa,2,0
Tunisia,Equatorial Guinea,2,1
Tanzania,Libya,1,0
Ecuador,Bolivia,2,1
Kuwait,Lebanon,1,1
Nepal,Bangladesh,2,1
Uzbekistan,Iraq,0,1
Cayman Islands,Canada,0,11
Burkina Faso,South Sudan,1,0
Malawi,Uganda,1,0
Angola,Gabon,2,0
DR Congo,Gambia,1,0
Togo,Kenya,1,2
Egypt,Comoros,4,0
Algeria,Botswana,5,0
Zimbabwe,Zambia,0,2
United Arab Emirates,India,6,0
Bahrain,Jordan,1,2
Costa Rica,Mexico,0,1
Iran,Syria,3,0
Republic of Ireland,Qatar,1,1
Grenada,United States Virgin Islands,1,0
Bermuda,Aruba,5,0
Saint Vincent and the Grenadines,British Virgin Islands,3,0
Barbados,Anguilla,1,0
Belize,Turks and Caicos Islands,5,0
Guyana,Bahamas,4,0
Azerbaijan,Serbia,1,2
Luxembourg,Portugal,1,3
Wales,Czech Republic,1,0
Belgium,Belarus,8,0
Gibraltar,Netherlands,0,7
Montenegro,Norway,0,1
Turkey,Latvia,3,3
Cyprus,Slovenia,1,0
Croatia,Malta,3,0
Slovakia,Russia,2,1
Saudi Arabia,Palestine,5,0
Japan,Mongolia,14,0
Central African Republic,Mauritania,0,1
Morocco,Burundi,1,0
Cameroon,Rwanda,0,0
Mozambique,Cape Verde,0,1
Guinea-Bissau,Congo,3,0
Senegal,Eswatini,1,1
Ivory Coast,Ethiopia,3,1
Madagascar,Niger,0,0
Nigeria,Lesotho,3,0
Sweden,Estonia,1,0
Switzerland,Finland,3,2
Spain,Kosovo,3,1
Greece,Georgia,1,1
Northern Ireland,Bulgaria,0,0
Lithuania,Italy,0,2
Bosnia and Herzegovina,France,0,1
Ukraine,Kazakhstan,1,1
Scotland,Faroe Islands,4,0
Austria,Denmark,0,4
Moldova,Israel,1,4
England,Poland,2,1
Andorra,Hungary,1,4
San Marino,Albania,0,2
Armenia,Romania,3,2
Germany,North Macedonia,1,2
Liechtenstein,Iceland,1,4
Ukraine,Bahrain,1,1
Iraq,Tajikistan,0,0
United Arab Emirates,Jordan,5,1
Indonesia,Afghanistan,2,3
Oman,Thailand,1,0
Turkey,Azerbaijan,2,1
Bahrain,Malaysia,2,0
Italy,San Marino,7,0
Japan,Myanmar,10,0
Indonesia,Oman,1,3
Iraq,Nepal,6,2
Mexico,Iceland,2,1
Singapore,Afghanistan,1,1
Sweden,Finland,2,0
Thailand,Tajikistan,2,2
Malta,Northern Ireland,0,3
Switzerland,United States,2,1
China,Guam,7,0
Jordan,Vietnam,1,1
Turkey,Guinea,0,0
Croatia,Armenia,1,1
Kosovo,San Marino,4,1
North Macedonia,Slovenia,1,1
Poland,Russia,1,1
Slovakia,Bulgaria,1,1
Lithuania,Estonia,0,1
Belarus,Azerbaijan,1,2
Bosnia and Herzegovina,Montenegro,0,0
England,Austria,1,0
France,Wales,3,0
Germany,Denmark,1,1
Mozambique,Lesotho,5,0
Netherlands,Scotland,2,2
Norway,Luxembourg,1,0
Romania,Georgia,1,2
Montserrat,United States Virgin Islands,4,0
Cayman Islands,Aruba,1,3
Cuba,British Virgin Islands,5,0
Dominica,Anguilla,3,0
Puerto Rico,Bahamas,7,0
Algeria,Mauritania,4,1
Andorra,Republic of Ireland,1,4
Belgium,Greece,1,1
Switzerland,Liechtenstein,7,0
Turkey,Moldova,2,0
Ukraine,Northern Ireland,1,0
Mexico,Costa Rica,0,0
United States,Honduras,1,0
Nepal,Taiwan,2,0
Iran,Hong Kong,3,1
Bahrain,Cambodia,8,0
Palestine,Singapore,4,0
Bangladesh,Afghanistan,1,1
United Arab Emirates,Malaysia,4,0
Thailand,Indonesia,2,2
Bolivia,Venezuela,3,1
Uruguay,Paraguay,0,0
Argentina,Chile,1,1
Peru,Colombia,0,3
Kuwait,Australia,0,3
Qatar,India,1,0
Faroe Islands,Iceland,0,1
Finland,Estonia,0,1
Hungary,Cyprus,1,0
Italy,Czech Republic,4,0
Kosovo,Malta,2,1
Nigeria,Cameroon,0,1
North Macedonia,Kazakhstan,4,0
Rwanda,Central African Republic,2,0
Slovenia,Gibraltar,6,0
Spain,Portugal,0,0
Latvia,Lithuania,3,1
Maldives,Syria,0,4
Antigua and Barbuda,Grenada,1,0
Suriname,Bermuda,6,0
Guatemala,Saint Vincent and the Grenadines,10,0
Dominican Republic,Barbados,1,1
Nicaragua,Belize,3,0
Saint Kitts and Nevis,Guyana,3,0
Brazil,Ecuador,2,0
Guinea,Togo,0,2
Ivory Coast,Burkina Faso,2,1
Montenegro,Israel,1,3
Niger,Gambia,0,2
Russia,Bulgaria,1,0
Senegal,Zambia,3,1
Sweden,Armenia,3,1
Tunisia,DR Congo,1,0
Wales,Albania,0,0
Saudi Arabia,Yemen,3,0
Lebanon,Sri Lanka,3,2
South Korea,Turkmenistan,5,0
United States Virgin Islands,El Salvador,0,7
Aruba,Canada,0,7
British Virgin Islands,Curaçao,0,8
Panama,Anguilla,13,0
Turks and Caicos Islands,Haiti,0,10
Bahamas,Trinidad and Tobago,0,0
Algeria,Mali,1,0
Austria,Slovakia,0,0
Belgium,Croatia,1,0
Denmark,Bosnia and Herzegovina,2,0
England,Romania,1,0
Luxembourg,Scotland,0,1
Moldova,Azerbaijan,1,0
Netherlands,Georgia,3,0
Norway,Greece,1,2
Honduras,Costa Rica,2,2
United States,Mexico,3,2
Andorra,Gibraltar,0,0
Faroe Islands,Liechtenstein,5,1
Germany,Latvia,7,1
Rwanda,Central African Republic,5,0
Serbia,Jamaica,1,1
Ukraine,Cyprus,4,0
Guam,Syria,0,3
China,Philippines,2,0
Nepal,Jordan,0,3
Australia,Taiwan,5,1
Iraq,Cambodia,4,1
Uzbekistan,Singapore,5,0
Bangladesh,India,0,2
Kyrgyzstan,Mongolia,0,1
Japan,Tajikistan,4,1
United Arab Emirates,Thailand,3,1
Vietnam,Indonesia,4,0
Bahrain,Iran,0,3
Qatar,Oman,1,0
Benin,Zambia,2,2
Cameroon,Nigeria,0,0
Czech Republic,Albania,3,1
France,Bulgaria,3,0
Gambia,Togo,1,0
Hungary,Republic of Ireland,0,0
Kosovo,Guinea,1,2
Morocco,Ghana,1,0
Mozambique,Eswatini,1,1
Poland,Iceland,2,2
Senegal,Cape Verde,2,0
Spain,Lithuania,4,0
Grenada,Montserrat,1,2
El Salvador,Antigua and Barbuda,3,0
Canada,Suriname,4,0
Bermuda,Cayman Islands,1,1
Saint Vincent and the Grenadines,Cuba,0,1
Curaçao,Guatemala,0,0
Barbados,Dominica,1,1
Panama,Dominican Republic,3,0
Haiti,Nicaragua,1,0
Guyana,Puerto Rico,0,2
Trinidad and Tobago,Saint Kitts and Nevis,2,0
Ecuador,Peru,1,2
Colombia,Argentina,2,2
Venezuela,Uruguay,0,0
Paraguay,Brazil,0,2
Chile,Bolivia,1,1
Turkmenistan,Lebanon,3,2
Niger,Congo,0,1
Portugal,Israel,4,0
United States,Costa Rica,4,0
South Korea,Sri Lanka,5,0
Estonia,Latvia,2,1
South Africa,Uganda,3,2
Philippines,Guam,3,0
China,Maldives,5,0
Nepal,Australia,0,3
Kuwait,Jordan,0,0
Cambodia,Iran,0,10
Hong Kong,Iraq,0,1
Yemen,Uzbekistan,0,1
Afghanistan,Oman,1,2
Myanmar,Kyrgyzstan,1,8
Malaysia,Vietnam,1,2
Japan,Serbia,1,0
DR Congo,Mali,1,1
Guinea,Niger,2,1
Kosovo,Gambia,1,0
Mauritania,Liberia,1,0
Tunisia,Algeria,0,2
Italy,Turkey,3,0
Saudi Arabia,Singapore,3,0
United Arab Emirates,Indonesia,5,0
Haiti,Canada,0,1
Panama,Curaçao,2,1
Saint Kitts and Nevis,El Salvador,0,4
Ghana,Ivory Coast,0,0
Mexico,Honduras,0,0
Morocco,Burkina Faso,1,0
Wales,Switzerland,1,1
Denmark,Finland,0,1
Russia,Belgium,0,3
South Korea,Lebanon,2,1
Sudan,Zambia,0,1
Tanzania,Malawi,2,0
Austria,North Macedonia,3,1
Netherlands,Ukraine,3,2
England,Croatia,1,0
Brazil,Venezuela,3,0
Colombia,Ecuador,1,0
Libya,Liberia,0,1
Scotland,Czech Republic,0,2
Poland,Slovakia,1,2
Spain,Sweden,0,0
Argentina,Chile,1,1
Paraguay,Bolivia,3,1
Philippines,Maldives,1,1
China,Syria,3,1
Australia,Jordan,1,0
Bahrain,Hong Kong,4,0
Iran,Iraq,1,0
Palestine,Yemen,3,0
Saudi Arabia,Uzbekistan,3,0
Bangladesh,Oman,0,3
India,Afghanistan,1,1
Tajikistan,Myanmar,4,0
Japan,Kyrgyzstan,5,1
Thailand,Malaysia,0,1
United Arab Emirates,Vietnam,3,2
Canada,Haiti,3,0
Curaçao,Panama,0,0
El Salvador,Saint Kitts and Nevis,2,0
Tunisia,Mali,1,0
Djibouti,Somalia,1,0
Hungary,Portugal,0,3
Germany,France,0,1
Kuwait,Taiwan,2,1
Sierra Leone,Benin,1,0
Turkey,Wales,0,2
Italy,Switzerland,3,0
Russia,Finland,1,0
Denmark,Belgium,1,2
Ukraine,North Macedonia,2,1
Netherlands,Austria,2,0
Colombia,Venezuela,0,0
Brazil,Peru,4,0
Algeria,Liberia,5,1
Croatia,Czech Republic,1,1
England,Scotland,0,0
Sweden,Slovakia,1,0
Chile,Bolivia,1,0
Argentina,Uruguay,1,0
Spain,Poland,1,1
Hungary,France,1,1
Germany,Portugal,4,2
Libya,Sudan,0,1
Italy,Wales,1,0
Switzerland,Turkey,3,1
Venezuela,Ecuador,2,2
Colombia,Peru,1,2
Oman,Somalia,2,1
Denmark,Russia,4,1
Finland,Belgium,0,2
Netherlands,North Macedonia,3,0
Ukraine,Austria,0,1
Uruguay,Chile,1,1
Argentina,Paraguay,1,0
Scotland,Croatia,1,3
England,Czech Republic,1,0
Mauritania,Yemen,2,0
Spain,Slovakia,5,0
Sweden,Poland,3,2
Germany,Hungary,2,2
Portugal,France,2,2
Ecuador,Peru,2,2
Brazil,Colombia,2,1
Lebanon,Djibouti,1,0
Bolivia,Uruguay,0,2
Chile,Paraguay,0,2
Palestine,Comoros,5,1
Bahrain,Kuwait,2,0
Italy,Austria,2,1
Wales,Denmark,0,4
Netherlands,Czech Republic,0,2
Belgium,Portugal,1,0
Brazil,Ecuador,1,1
Venezuela,Peru,0,1
El Salvador,Guatemala,0,0
Croatia,Spain,3,5
France,Switzerland,3,3
Argentina,Bolivia,4,1
Uruguay,Paraguay,1,0
England,Germany,2,0
Sweden,Ukraine,1,2
Mexico,Panama,3,0
Switzerland,Spain,1,1
Belgium,Italy,1,2
Peru,Paraguay,3,3
Brazil,Chile,1,0
Haiti,Saint Vincent and the Grenadines,6,1
Trinidad and Tobago,Montserrat,6,1
Bermuda,Barbados,8,1
Czech Republic,Denmark,1,2
Ukraine,England,0,4
Mexico,Nigeria,4,0
Uruguay,Colombia,0,0
Argentina,Ecuador,3,0
Guatemala,Guyana,4,0
Cuba,French Guiana,0,3
Guadeloupe,Bahamas,2,0
Qatar,El Salvador,1,0
Brazil,Peru,1,0
Argentina,Colombia,1,1
Italy,Spain,1,1
Haiti,Bermuda,4,1
Guatemala,Guadeloupe,1,1
Trinidad and Tobago,French Guiana,1,1
Eswatini,Lesotho,3,1
South Africa,Botswana,1,0
England,Denmark,2,1
Mozambique,Zimbabwe,0,0
Senegal,Namibia,1,2
Zambia,Lesotho,1,2
South Africa,Eswatini,1,0
Peru,Colombia,2,3
Malawi,Zimbabwe,2,2
Senegal,Mozambique,1,0
Brazil,Argentina,0,1
Lesotho,Botswana,0,4
Zambia,Eswatini,0,1
Mexico,Trinidad and Tobago,0,0
England,Italy,1,1
Namibia,Zimbabwe,2,0
Mozambique,Malawi,2,0
El Salvador,Guatemala,2,0
Canada,Martinique,4,1
United States,Haiti,1,0
Jamaica,Suriname,2,0
Costa Rica,Guadeloupe,3,1
Botswana,Zambia,1,2
South Africa,Lesotho,4,0
Senegal,Zimbabwe,2,1
Malawi,Namibia,1,1
Qatar,Panama,3,3
Honduras,Grenada,4,0
South Africa,Zambia,0,0
Eswatini,Botswana,1,1
Mozambique,Namibia,1,0
Senegal,Malawi,2,1
Trinidad and Tobago,El Salvador,0,2
Guatemala,Mexico,0,3
Haiti,Canada,1,4
United States,Martinique,6,1
Senegal,Eswatini,2,2
South Africa,Mozambique,3,0
Guadeloupe,Jamaica,1,2
Suriname,Costa Rica,1,2
Grenada,Qatar,0,4
Panama,Honduras,2,3
Eswatini,Mozambique,1,1
South Africa,Senegal,0,0
Guatemala,Trinidad and Tobago,1,1
Mexico,El Salvador,1,0
Martinique,Haiti,1,2
United States,Canada,1,0
Suriname,Guadeloupe,2,1
Costa Rica,Jamaica,1,0
Panama,Grenada,3,1
Honduras,Qatar,0,2
Mexico,Honduras,3,0
Qatar,El Salvador,3,2
Costa Rica,Canada,0,2
United States,Jamaica,1,0
Mexico,Canada,2,1
United States,Qatar,1,0
United States,Mexico,1,0
El Salvador,Costa Rica,0,0
Niger,Sudan,2,1
Sudan,Niger,3,0
Ethiopia,Sierra Leone,0,0
Ethiopia,Uganda,2,1
Bahrain,Haiti,6,1
Comoros,Seychelles,7,1
Finland,Wales,0,0
Qatar,Serbia,0,4
Switzerland,Greece,2,1
Central African Republic,Cape Verde,1,1
